Unit,Samplesy,%-IgG against SARS-CoV2@, %-Active Infection of COVID-19@, %-Prevalence of COVID-19@
Karnataka,41228,15.6,0.3,15.6
Mysuru,1104,33.6,1.9,33.6
Mandya,1159,31.9,1.8,31.9
Kodagu,1063,27.1,1.9,27.1
Chamarajanagar,1161,22.6,1.9,22.6
Kolar,1050,20.8,1.9,20.8
Bengaluru Rural,1084,20.3,2,20.3
Dakshina Kannada,1074,19.8,1.9,19.8
Belgaum,1110,19.4,1.9,19.4
Bengaluru Urban Conglomerate,9730,18.7,0.7,18.7
Udupi,1076,17.9,1.9,17.9
Chitradurga,1060,16.6,1.9,16.6
Davanagere,1054,16.2,2,16.2
Bagalkot,1051,15.7,1.9,15.7
Ramanagar,1057,14.5,1.9,14.5
Chikkaballapur,1062,13.7,1.9,13.7
Gadag,1137,13.1,1.9,13.1
Vijayapura,1058,12.9,1.9,12.9
Shivamogga,1062,12.8,1.9,12.8
Chikmagalur,1050,12.6,1.9,12.6
Ballari,1056,12.3,1.9,12.3
Tumakuru,1051,10.7,2,10.7
Raichur,1247,10.5,1.8,10.5
Uttara Kannada,1080,10.3,1.9,10.3
Koppal,1063,9,1.9,9
Hassan,1051,7.6,2,7.6
Kalaburagi,1087,6.3,1.9,6.3
Dharwad,1101,5.8,1.9,5.8
Yadgir,1061,5.5,1.9,5.5
Bidar,1168,4.5,1.9,4.5
Haveri,1061,3.7,1.9,3.7
